panel_name	nando_id	gene_symbol_list
Alpha-mannosidosis	NANDO:1200126	MAN2B1
Alpha-mannosidosis, infantile form	NANDO:1200127	MAN2B1
Alpha-mannosidosis, adult form	NANDO:1200128	MAN2B1
Beta-mannosidosis	NANDO:1200129	MANBA
Fucosidosis	NANDO:1200130	FUCA1
Fucosidosis, infantile form	NANDO:1200131	
Fucosidosis, milder form	NANDO:1200132	
Aspartylglucosaminuria	NANDO:1200133	AGA
Schindler disease	NANDO:1200134	NAGA
Schindler disease type I	NANDO:1200135	NAGA
Schindler disease type 2	NANDO:1200136	NAGA
Schindler disease type 3	NANDO:1200137	NAGA
Pompe disease	NANDO:1200138	
Classic infantile Pompe disease	NANDO:1200139	GAA
Childhood-onset Pompe disease	NANDO:1200140	
Adult-onset Pompe disease	NANDO:1200141	
Acid lipase deficiency	NANDO:1200142	
Wolman disease	NANDO:1200143	LIPA
Cholesterol ester storage disease	NANDO:1200144	LIPA
obsolete Danon disease	NANDO:1200145	
Free sialic acid storage disease	NANDO:1200146	GNE | SLC17A5
Infantile free sialic acid storage disease	NANDO:1200147	SLC17A5
Intermediate severe Salla disease	NANDO:1200148	SLC17A5
obsolete Salla disease	NANDO:1200149	
Neuronal ceroid-lipofuscinosis	NANDO:1200150	ATP13A2 | CLN3 | CLN5 | CLN6 | CLN8 | CTSD | CTSF | DNAJC5 | GRN | KCTD7 | MFSD8 | PPT1 | TPP1
Congenital neuronal ceroid lipofuscinosis	NANDO:1200151	
Infantile neuronal ceroid lipofuscinosis	NANDO:1200152	
Late infantile neuronal ceroid lipofuscinosis	NANDO:1200153	CLN5 | CLN6 | CLN8 | CTSD | MFSD8 | TPP1
Juvenile neuronal ceroid lipofuscinosis	NANDO:1200154	ATP13A2 | CLN3 | CLN8 | CTSD | TPP1
Adult neuronal ceroid lipofuscinosis	NANDO:1200155	CLN6 | CTSD | CTSF | DNAJC5 | GRN
Atypical neuronal-ceroid lipofuscinosis	NANDO:1200156	
Fabry disease	NANDO:1200157	GLA
Classical Fabry disease	NANDO:1200158	
Variant Fabry disease	NANDO:1200159	
Heterozygous Fabry disease	NANDO:1200160	
Cystinosis	NANDO:1200161	CTNS
Nephropathic cystinosis	NANDO:1200162	CTNS
Intermediate cystinosis	NANDO:1200163	CTNS
Non-nephropathic cystinosis 	NANDO:1200164	CTNS
Adrenoleukodystrophy	NANDO:1200165	ABCD1
Childhood cerebral adrenoleukodystrophy	NANDO:1200166	ABCD1
Adolescent cerebral adrenoleukodystrophy	NANDO:1200167	
Adrenomyeloneuropathy	NANDO:1200168	ABCD1
Adult cerebral adrenoleukodystrophy	NANDO:1200169	
Atypical X-linked adult adrenoleukodystrophy	NANDO:1200170	
Addison-only adrenoleukodystrophy	NANDO:1200171	
Female adrenoleukodystrophy	NANDO:1200172	
