NANDO	notification_number	disease_name_en	disease_name_synonym_en	disease_name_ja	disease_name_synonym_ja	Mondo
NANDO:2200835	2	[小慢] Alexander disease		[小慢] アレキサンダー病	Alexander病	MONDO:0008752
NANDO:2200836	4	[小慢] Congenital hypomyelinating leukodystrophy		[小慢] 先天性大脳白質形成不全症		MONDO:0019046
NANDO:2200837	6	[小慢] Megaloencephalic leukoencephalopathy with subcortical cysts		[小慢] 皮質下嚢胞をもつ大頭型白質脳症		MONDO:0011391
NANDO:2200838	5	[小慢] Vanishing white matter disease		[小慢] 白質消失病		MONDO:0011380
NANDO:2200839	8	[小慢] ATR-X syndrome	X-linked a-thalassemia/intellectual disability syndrome	[小慢] ATR-X症候群	X連鎖αサラセミア・精神遅滞症候群	MONDO:0010519
NANDO:2200840	35	[小慢] Fragile X syndrome		[小慢] 脆弱Ｘ症候群		MONDO:0010383
NANDO:2200841	62	[小慢] Inherited glycosylphosphatidylinositol deficiency	IGD	[小慢] 先天性グリコシルホスファチジルイノシトール欠損症	先天性GPI欠損症	MONDO:0024321
NANDO:2200842	80	[小慢] Cerebral creatine deficiency syndrome		[小慢] 脳クレアチン欠乏症候群		MONDO:0000456
NANDO:2200843	33	[小慢] Non-syndromic craniosynostosis		[小慢] 非症候性頭蓋骨縫合早期癒合症		MONDO:0015337
NANDO:2200844	31	[小慢] Apert syndrome		[小慢] アペール症候群	Apert症候群	MONDO:0007041
NANDO:2200845	32	[小慢] Crouzon disease		[小慢] クルーゾン病	Crouzon病	MONDO:0007405
NANDO:2200846	34	[小慢] Other craniosynostosis		[小慢] 35から37までに掲げるもののほか、重度の頭蓋骨早期癒合症		
NANDO:2200850	98	[小慢] Moyamoya disease		[小慢] もやもや病	ウィリス動脈輪閉塞症	MONDO:0016820
NANDO:2200851	90	[小慢] Cerebral arteriovenous malformation	Cerebral AVM	[小慢] 脳動静脈奇形		MONDO:0007154
NANDO:2200852	9	[小慢] Cavernous angioma of the brain and spinal cord		[小慢] 海綿状血管腫（脳脊髄）		MONDO:0002327
NANDO:2200853	40	[小慢] Spinal muscular atrophy		[小慢] 脊髄性筋萎縮症		MONDO:0001516
NANDO:2200854	46	[小慢] Congenital insensitivity to pain with anhidrosis	CIPA	[小慢] 先天性無痛無汗症		MONDO:0009746
NANDO:2200855	45	[小慢] Hereditary Motor and Sensory Neuropathy	Charcot-Marie-Tooth disease	[小慢] 遺伝性運動感覚ニューロパチー		MONDO:0015358|MONDO:0015626
NANDO:2200856	14	[小慢] Duchenne muscular dystrophy		[小慢] デュシェンヌ型筋ジストロフィー	Duchenne型筋ジストロフィー	MONDO:0010679
NANDO:2200857	11	[小慢] Emery-Dreifuss muscular dystrophy		[小慢] エメリー・ドレイフス型筋ジストロフィー	Emery-Dreifuss型筋ジストロフィー	MONDO:0016830
NANDO:2200858	13	[小慢] Limb-girdle muscular dystrophy		[小慢] 肢帯型筋ジストロフィー		MONDO:0016971
NANDO:2200859	12	[小慢] Facioscapulohumeral muscular dystrophy	FSMD	[小慢] 顔面肩甲上腕型筋ジストロフィー		MONDO:0001347
NANDO:2200860	15	[小慢] Fukuyama type congenital muscular dystrophy	FCMD	[小慢] 福山型先天性筋ジストロフィー		MONDO:0009678
NANDO:2200861	16	[小慢] Merosin-deficient congenital muscular dystrophy		[小慢] メロシン欠損型先天性筋ジストロフィー		MONDO:0011925
NANDO:2200862	10	[小慢] Ullrich congenital muscular dystrophy	Ullrich disease|Ullrich's disease	[小慢] ウルリヒ型先天性筋ジストロフィー	Ullrich型先天性筋ジストロフィー|ウルリッヒ病	MONDO:0000355
NANDO:2200863	17	[小慢] Other muscular dystrophy		[小慢] 45から51に掲げるもののほか、筋ジストロフィー		
NANDO:2200867	51	[小慢] Myotubular myopathy	X-linked centronuclear myopathy	[小慢] ミオチュブラーミオパチー		MONDO:0002921|MONDO:0018947
NANDO:2200868	47	[小慢] Congenital fiber-type disproportion myopathy		[小慢] 先天性筋線維不均等症	先天性筋線維タイプ不均等症	MONDO:0009711
NANDO:2200869	49	[小慢] Nemaline myopathy		[小慢] ネマリンミオパチー		MONDO:0018958
NANDO:2200870	48	[小慢] Central core disease		[小慢] セントラルコア病		MONDO:0007294
NANDO:2200871	50	[小慢] Multicore disease		[小慢] マルチコア病		MONDO:0018948
NANDO:2200872	52	[小慢] Minicore myopathy	Mini core disease	[小慢] ミニコア病		MONDO:0009712
NANDO:2200873	53	[小慢] Other congenital structural myopathy		[小慢] 53から58までに掲げるもののほか、先天性ミオパチー		
NANDO:2200876	22	[小慢] Schwartz-Jampel syndrome	SJS	[小慢] シュワルツ・ヤンペル症候群	Schwartz-Jampel症候群	MONDO:0009717
NANDO:2200877	71	[小慢] Severe myoclonic epilepsy in infancy	Dravet syndrome	[小慢] 乳児重症ミオクロニーてんかん	Dravet症候群|ドラベ症候群	MONDO:0100135
NANDO:2200878	70	[小慢] West syndrome	Infantile spasms	[小慢] 点頭てんかん	ウエスト症候群|West症候群	MONDO:0018097
NANDO:2200879	77	[小慢] Lennox-Gastaut syndrome		[小慢] レノックス・ガストー症候群	Lennox-Gastaut症候群	MONDO:0016532
NANDO:2200880	29	[小慢] Unverricht-Lundborg disease	ULD	[小慢] ウンフェルリヒト・ルントボルク病	Unverricht-Lundborg病	MONDO:0009698
NANDO:2200881	30	[小慢] Lafora disease		[小慢] ラフォラ病	Lafora病	MONDO:0009697
NANDO:2200882	36	[小慢] Spinocerebellar degeneration	SCD	[小慢] 脊髄小脳変性症		MONDO:0000437
NANDO:2200883	23	[小慢] Alternating hemiplegia of childhood	AHC	[小慢] 小児交互性片麻痺		MONDO:0016241
NANDO:2200884	96	[小慢] Dystonia musculorum deformans		[小慢] 変形性筋ジストニー		MONDO:0007492
NANDO:2200885	95	[小慢] Segawa syndrome	Dopamine-responsive dystonia|DRD|Hereditary progressive dystonia with diurnal variation|HPD	[小慢] 瀬川病		MONDO:0016812
NANDO:2200886	93	[小慢] Pantothenate kinase-associated neurodegeneration	PKAN	[小慢] パントテン酸キナーゼ関連神経変性症		MONDO:0009319
NANDO:2200887	92	[小慢] Infantile neuroaxonal dystrophy	INAD	[小慢] 乳児神経軸索ジストロフィー		MONDO:0009739
NANDO:2200888	79	[小慢] Infantile bilateral striatal necrosis	IBSN	[小慢] 乳児両側線条体壊死		MONDO:0015518
NANDO:2200889	44	[小慢] Congenital herpes simplex virus infection		[小慢] 先天性ヘルペスウイルス感染症		MONDO:0017381
NANDO:2200890	43	[小慢] Congenital rubella syndrome		[小慢] 先天性風疹症候群		MONDO:0005713|MONDO:0017361
NANDO:2200891	41	[小慢] Congenital cytomegalovirus infection		[小慢] 先天性サイトメガロウイルス感染症		MONDO:0017409
NANDO:2200892	42	[小慢] Congenital toxoplasmosis		[小慢] 先天性トキソプラズマ感染症		MONDO:0005715
NANDO:2200893	7	[小慢] Aicardi-Goutières Syndrome	AGS	[小慢] エカルディ・グティエール症候群	Aicardi-Goutieres症候群|Aicardi-Goutières症候群|TREX1欠損症	MONDO:0018866
NANDO:2200899	1	[小慢] Subacute sclerosing panencephalitis	SSPE	[小慢] 亜急性硬化性全脳炎		MONDO:0009835
NANDO:2200900	99	[小慢] Rasmussen's encephalitis	Rasmussen encephalitis	[小慢] ラスムッセン脳炎	Rasmussen脳炎	MONDO:0016019
NANDO:2200901	18	[小慢] Acute encephalopathy with biphasic seizures and late reduced diffusion	AESD	[小慢] 痙攣重積型急性脳症	痙攣重積型（二相性）急性脳症	MONDO:0018198
NANDO:2200902	19	[小慢] Autoimmune encephalitis		[小慢] 自己免疫介在性脳炎・脳症		MONDO:0020640
NANDO:2200903	78	[小慢] Acute encephalitis with refractory, repetitive partial seizures	AERRPS	[小慢] 難治頻回部分発作重積型急性脳炎		MONDO:0015584
NANDO:2200904	59	[小慢] Multiple sclerosis	MS	[小慢] 多発性硬化症		MONDO:0005301
NANDO:2200905	97	[小慢] Chronic inflammatory demyelinating polyneuropathy	CIDP	[小慢] 慢性炎症性脱髄性多発神経炎		MONDO:0002335|MONDO:0006702|MONDO:0007691
NANDO:2200906	20	[小慢] Myasthenia gravis	MG	[小慢] 重症筋無力症		MONDO:0009688
NANDO:2200907	28	[小慢] Lactose intolerance		[小慢] 乳糖不耐症		MONDO:0009116
NANDO:2200908	25	[小慢] Congenital sucrase-isomaltase deficiency	CSID	[小慢] ショ糖イソ麦芽糖分解酵素欠損症		MONDO:0009114
NANDO:2200909	26	[小慢] Glucose-galactose malabsorption	GGM	[小慢] 先天性グルコース・ガラクトース吸収不良症		MONDO:0011731
NANDO:2200910	24	[小慢] Enterokinase deficiency		[小慢] エンテロキナーゼ欠損症		MONDO:0009173
NANDO:2200911	23	[小慢] Amylase deficiency		[小慢] アミラーゼ欠損症		MONDO:0015169
NANDO:2200912	30	[小慢] Lipase deficiency		[小慢] リパーゼ欠損症		MONDO:0013700
NANDO:2200913	29	[小慢] Microvillus inclusion disease	Congenital microvillus atrophy	[小慢] 微絨毛封入体病	先天性微絨毛萎縮症	MONDO:0009635
NANDO:2200914	27	[小慢] Intestinal lymphangiectasia		[小慢] 腸リンパ管拡張症		MONDO:0018178
NANDO:2200915	39	[小慢] Familial adenomatous polyposis	FAP	[小慢] 家族性腺腫性ポリポーシス		MONDO:0021055
NANDO:2200916	40	[小慢] Juvenile polyposis		[小慢] 若年性ポリポーシス		MONDO:0017380
NANDO:2200917	41	[小慢] Peutz-Jeghers syndrome		[小慢] ポイツ・ジェガース症候群	Peutz-Jeghers症候群	MONDO:0008280
NANDO:2200918	38	[小慢] Cowden syndrome		[小慢] カウデン症候群	Cowden症候群	MONDO:0016063
NANDO:2200919	19	[小慢] Cyclic vomiting syndrome	CVS	[小慢] 周期性嘔吐症候群		MONDO:0010778
NANDO:2200920	1	[小慢] Ulcerative colitis		[小慢] 潰瘍性大腸炎		MONDO:0005101
NANDO:2200921	2	[小慢] Crohn's disease		[小慢] クローン病	Crohn病	MONDO:0005011
NANDO:2200922	4	[小慢] Early-onset inflammatory bowel disease		[小慢] 早期発症型炎症性腸疾患		
