ICD-10	ICD-10_group	disease_control_number	disease_name
E742		20101242	ＧＡＬＴ欠損症
E751		20050180	ＧＭ１ガングリオシドーシス
E750		20050181	ＧＭ２ガングリオシドーシス
E750		20079692	ＧＭ２ガングリオシドーシス１型
E750		20079693	ＧＭ２ガングリオシドーシス２型
E751		20050182	ＧＭ３ガングリオシドーシス
T860		20088740	ＧＶＨＤ・骨髄移植後
T868		20088741	ＧＶＨＤ・臍帯血移植後
T868		20088742	ＧＶＨＤ・末梢血幹細胞移植後
A408		20103252	Ｇ群連鎖球菌敗血症
E713		20103295	ＨＡＤＨ欠損症
Z225		20101682	ＨＢＶキャリア
R768		20103136	ＨＢｃ抗体検査陽性
R768		20083799	ＨＢｅ抗原検査陽性
R768		20083798	ＨＢｓ抗原検査陽性
R768		20103135	ＨＢｓ抗体検査陽性
B169	N080	20050187	ＨＢウイルス腎症
G378		20101046	ＨＣＡＨＣ
Z225		20101683	ＨＣＶキャリア
R768		20083800	ＨＣＶ抗体検査陽性
B171	N080	20050190	ＨＣウイルス腎症
G318		20101024	ＨＤＬＳ
O142		20086518	ＨＥＬＬＰ症候群
C169		20103584	ＨＥＲ２陽性胃癌
C509		20103582	ＨＥＲ２陽性乳癌
Z225		20101684	ＨＥＶキャリア
C838		20098394	ＨＨＶ８多中心性キャッスルマン病随伴大細胞型Ｂ細胞性リンパ腫
B24		20098124	ＨＩＶ－１感染症
B24		20098125	ＨＩＶ－２感染症
B210		20050193	ＨＩＶカポジ肉腫
B206		20050194	ＨＩＶカリニ肺炎
B221		20050198	ＨＩＶ間質性肺炎
B204		20050195	ＨＩＶカンジダ病
B24		20086519	ＨＩＶ感染
B24		20050197	ＨＩＶ感染症
B220	F024	20094154	ＨＩＶ感染症の認知症
P002		20089975	ＨＩＶ感染母体より出生した児
Z21		20083796	ＨＩＶキャリア
R75		20050199	ＨＩＶ検査陽性
B202		20079668	ＨＩＶサイトメガロウイルス感染症
B238	N080	20050200	ＨＩＶ腎症
B220		20050202	ＨＩＶ脳症
B211		20050196	ＨＩＶバーキットリンパ腫
B200		20088743	ＨＩＶ非結核性抗酸菌症
B212		20050204	ＨＩＶ非ホジキンリンパ腫
B203		20102269	ＨＩＶヘルペスウイルス感染症
B238	H320	20090021	ＨＩＶ網膜症
E713		20103286	ＨＭＧ－ＣｏＡ合成酵素欠損症
E711		20097774	ＨＭＧ血症
B333		20100463	ＨＴＬＶ－１感染症
A858	B973	20100465	ＨＴＬＶ－１関連脊髄症
Z226		20100464	ＨＴＬＶ－１キャリア
B333	H220	20100466	ＨＴＬＶ－１ぶどう膜炎
G378		20101045	Ｈｓｐ６０　シャペロン病
I600		20098554	ＩＣ－ＰＣ動脈瘤破裂によるくも膜下出血
D800		20103323	ＩＣＦ症候群
F99		20086018	ＩＣＵ症候群
C910		20098258	ＩＬ３－ＩＧＨ陽性Ｂリンパ芽球性白血病
C910		20098255	ＩＬ３－ＩＧＨ陽性Ｂリンパ芽球性白血病／リンパ腫
C835		20098260	ＩＬ３－ＩＧＨ陽性Ｂリンパ芽球性リンパ腫
E274		20100540	ＩＭＡｇｅ症候群
D848		20103448	ＩＰＥＸ症候群
M1314		20050228	ＩＰ関節炎
S636		20050229	ＩＰ関節捻挫
D848		20103335	ＩＲＡＫ４欠損症
Z305		20084161	ＩＵＤ検診
Z301		20084193	ＩＵＤ挿入
Z305		20084140	ＩＵＤ抜去
D690		20100472	ＩｇＡ血管炎
D690	M364	20100473	ＩｇＡ血管炎性関節炎
D802		20095346	ＩｇＡ欠損症
N028		20050234	ＩｇＡ腎症
K830		20100249	ＩｇＧ４関連硬化性胆管炎
M359		20100243	ＩｇＧ４関連疾患
N119		20100251	ＩｇＧ４関連腎臓病
K118		20100244	ＩｇＧ４関連ミクリッツ病
D803		20095347	ＩｇＧサブクラス欠損症
D804		20095348	ＩｇＭ欠損症
E770		20084062	Ｉ細胞病
Q809	H169	20101142	ＫＩＤ症候群
C169		20099774	ＫＩＴ（ＣＤ１１７）陽性胃消化管間質腫瘍
C189		20099775	ＫＩＴ（ＣＤ１１７）陽性結腸消化管間質腫瘍
C269		20087104	ＫＩＴ（ＣＤ１１７）陽性消化管間質腫瘍
C179		20099776	ＫＩＴ（ＣＤ１１７）陽性小腸消化管間質腫瘍
C159		20099777	ＫＩＴ（ＣＤ１１７）陽性食道消化管間質腫瘍
C20		20099778	ＫＩＴ（ＣＤ１１７）陽性直腸消化管間質腫瘍
C189		20099789	ＫＲＡＳ遺伝子野生型結腸癌
C20		20099790	ＫＲＡＳ遺伝子野生型直腸癌
E748		20079695	Ｌ－キシルロース尿症
E713		20097775	ＬＣＡＤ欠損症
E786		20103120	ＬＣＡＴ欠損症
E713		20097776	ＬＣＨＡＤ欠損症
L270		20093133	ＬＥ型薬疹
L931		20050245	ＬＥ蝶形皮疹
L930		20050246	ＬＥ皮疹
D840		20050248	ＬＦＡ－１欠乏症
I456		20050250	ＬＧＬ症候群
E230		20050251	ＬＨ単独欠損症
A305		20050253	ＬＬ型ハンセン病
N079		20103437	ＬＭＸ１Ｂ関連腎症
T857		20093553	ＬＰシャント感染症
T856		20092987	ＬＰシャント機能不全
F160		20092460	ＬＳＤ使用による急性精神・行動障害
T408		20050255	ＬＳＤ中毒
F160		20050256	ＬＳＤ反応
Q631		20050261	Ｌ字状腎
C884		20086799	ＭＡＬＴリンパ腫
E713		20097777	ＭＣＡＤ欠損症
E888		20095359	ＭＥＬＡＳ症候群
E888		20095361	ＭＥＲＲＦ症候群
D818		20095362	ＭＨＣクラスＩ・ＩＩ欠損症
D816		20095363	ＭＨＣクラスＩ欠損症
D817		20095364	ＭＨＣクラスＩＩ欠損症
C910		20098213	ＭＬＬ再構成型Ｂリンパ芽球性白血病
C910		20098210	ＭＬＬ再構成型Ｂリンパ芽球性白血病／リンパ腫
C835		20098215	ＭＬＬ再構成型Ｂリンパ芽球性リンパ腫
E888		20095365	ＭＮＧＩＥ
M1314		20050267	ＭＰ関節炎
S6261		20085623	ＭＰ関節開放性脱臼骨折
S631		20080466	ＭＰ関節脱臼
S6260		20050268	ＭＰ関節脱臼骨折
M2554		20050269	ＭＰ関節痛
S6260		20050270	ＭＰ関節内骨折
S636		20050271	ＭＰ関節捻挫
M674		20050272	ＭＰ関節部ガングリオン
M2484		20050266	ＭＰ関節ロッキング
A490	U821	20097653	ＭＲＣＮＳ感染症
J152	U821	20097566	ＭＲＣＮＳ肺炎
A411	U821	20097674	ＭＲＣＮＳ敗血症
M0001	U821	20100882	ＭＲＳＡ肩関節炎
M0009	U821	20083767	ＭＲＳＡ関節炎
A490	U821	20050274	ＭＲＳＡ感染症
I330	U821	20083765	ＭＲＳＡ感染性心内膜炎
