id	label_en	synonym_en	label_ja	synonym_ja
N12			ＢＫウイルス腎症	
A492			ＢＬＮＡＲ感染症	
A304			ＢＬ型ハンセン病	
C439			ＢＲＡＦ遺伝子変異陽性悪性黒色腫	
A302			ＢＴ型ハンセン病	
B004			Ｂウイルス病	
E13			Ｂ型インスリン受容体異常症	
B169			Ｂ型肝炎	
B169			Ｂ型肝炎ウイルス感染	
Z861			Ｂ型肝炎ウイルス感染の既往	
P002			Ｂ型肝炎ウイルス感染母体より出生した児	
B169			Ｂ型肝炎ウイルス性関節炎	
O984			Ｂ型肝炎合併妊娠	
B181			Ｂ型肝硬変	
B169			Ｂ型急性肝炎	
B162			Ｂ型劇症肝炎	
B181			Ｂ型代償性肝硬変	
B181			Ｂ型非代償性肝硬変	
B181			Ｂ型慢性肝炎	
A491			Ｂ群溶連菌感染症	
P002			Ｂ群溶連菌感染母体より出生した児	
M0025			Ｂ群溶連菌性化膿性股関節炎	
Z223			Ｂ群溶連菌保菌者	
P233			Ｂ群連鎖球菌性先天性肺炎	
J153			Ｂ群連鎖球菌肺炎	
A401			Ｂ群連鎖球菌敗血症	
D477			Ｂ細胞性移植後リンパ増殖性疾患	
C913			Ｂ細胞性前リンパ球性白血病	
C851			Ｂ細胞性非ホジキンリンパ腫	
C910			Ｂリンパ芽球性白血病	
C910			Ｂリンパ芽球性白血病／リンパ腫	
C835			Ｂリンパ芽球性リンパ腫	
R778			ＣＡ１２５高値	
R778			ＣＡ１５−３高値	
R778			ＣＡ１９−９高値	
E713			ＣＡＣＴ欠損症	
T888			ＣＡＤ／ＣＡＭ冠過高	
T888			ＣＡＤ／ＣＡＭ冠粗造	
T888			ＣＡＤ／ＣＡＭ冠脱離	
T888			ＣＡＤ／ＣＡＭ冠低位	
T888			ＣＡＤ／ＣＡＭ冠破損	
T888			ＣＡＤ／ＣＡＭ冠不適合	
F011			ＣＡＤＡＳＩＬ	
T856			ＣＡＰＤカテーテル位置異常	
T857			ＣＡＰＤカテーテルトンネル感染	
T856			ＣＡＰＤカテーテル破損	
T857			ＣＡＰＤ出口部感染	
T857			ＣＡＰＤ腹膜炎	
F011			ＣＡＲＡＳＩＬ	
C915			ＣＣＲ４陽性成人Ｔ細胞白血病リンパ腫	
C848			ＣＣＲ４陽性皮膚Ｔ細胞リンパ腫	
C844			ＣＣＲ４陽性末梢性Ｔ細胞リンパ腫	
C851			ＣＤ２０陽性Ｂ細胞性非ホジキンリンパ腫	
D818			ＣＤ８欠損症	
R778			ＣＥＡ高値	
Q878			ＣＦＣ症候群	
Q878			ＣＨＡＲＧＥ症候群	
Q878			ＣＨＩＬＤ症候群	
S630			ＣＭ関節脱臼	
M1994			ＣＭ関節変形性関節症	
R068			ＣＯ２ナルコーシス	
E713			ＣＰＴ１欠損症	
E713			ＣＰＴ２欠損症	
D71			ＣＲ３欠損症	
E240			ＣＲＨ産生腫瘍	
R778			ＣＹＦＲＡ高値	
K028			Ｃ管理中	
B182			Ｃ型肝炎	
B182			Ｃ型肝炎ウイルス感染	
Z861			Ｃ型肝炎ウイルス感染の既往	
P002			Ｃ型肝炎ウイルス感染母体より出生した児	
B182			Ｃ型肝炎ウイルス性関節炎	
O984			Ｃ型肝炎合併妊娠	
B182			Ｃ型肝硬変	
B171			Ｃ型急性肝炎	
B171			Ｃ型劇症肝炎	
Q391			Ｃ型食道閉鎖	
B182			Ｃ型代償性肝硬変	
B182			Ｃ型非代償性肝硬変	
B182			Ｃ型慢性肝炎	
A408			Ｃ群連鎖球菌敗血症	
K028			Ｃ選療	
E274			ＤＡＸ−１異常症	
M1314			ＤＩＰ関節炎	
S6261			ＤＩＰ関節開放性脱臼骨折	
S631			ＤＩＰ関節脱臼	
S6260			ＤＩＰ関節脱臼骨折	
S6260			ＤＩＰ関節内骨折	
S636			ＤＩＰ関節捻挫	
M674			ＤＩＰ関節部ガングリオン	
M1994			ＤＩＰ関節変形性関節症	
B178			Ｄ型肝炎	
A402			Ｄ群連鎖球菌敗血症	
O360			Ｄ不適合	
C910			Ｅ２Ａ−ＰＢＸ１陽性Ｂリンパ芽球性白血病	
C910			Ｅ２Ａ−ＰＢＸ１陽性Ｂリンパ芽球性白血病／リンパ腫	
C835			Ｅ２Ａ−ＰＢＸ１陽性Ｂリンパ芽球性リンパ腫	
B270			ＥＢウイルス肝炎	
B338			ＥＢウイルス感染症	
