id	label_en	synonym_en	label_ja	synonym_ja
2200149	[小慢] Chronic renal failure due to acute tubular necrosis or renal ischemias	Chronic renal failure due to acute tubular necrosis or renal ischaemias	[小慢] 慢性腎不全（急性尿細管壊死または腎虚血によるものに限る。）	
2200152	[小慢] Polycystic kidney disease	PKD|Polycystic kidney	[小慢] 多発性嚢胞腎	
2200155	[小慢] Hypoplastic kidney		[小慢] 低形成腎	
2200156	[小慢] Renal aplasia		[小慢] 腎無形成	
2200157	[小慢] Potter syndrome	Potter sequence	[小慢] ポッター症候群	Potter症候群
2200158	[小慢] Multicystic dysplastic kidney	MCDK	[小慢] 多嚢胞性異形成腎	
2200159	[小慢] Oligomeganephronia		[小慢] 寡巨大糸球体症	
2200160	[小慢] Other renal malformations		[小慢] 38から44までに掲げるもののほか、腎奇形	
2200178	[小慢] Obstructive uropathy		[小慢] 閉塞性尿路疾患	
2200179	[小慢] Vesicoureteral reflux	VUR	[小慢] 膀胱尿管逆流	
2200180	[小慢] Other urinary tract malformations		[小慢] 46及び47に掲げるもののほか、尿路奇形	
2200186	[小慢] Atrophic kidney		[小慢] 萎縮腎	
2200187	[小慢] Fanconi syndrome		[小慢] ファンコーニ症候群	Fanconi症候群
2200188	[小慢] Lowe syndrome	Oculocerebrorenal syndrome of Lowe|OCRL	[小慢] ロウ症候群	Lowe症候群
2200189	[小慢] Airway obstruction and stenosis		[小慢] 気道狭窄	
2200197	[小慢] Bronchial asthma		[小慢] 気管支喘息	
2200198	[小慢] Congenital central hypoventilation syndrome	CCHS	[小慢] 先天性中枢性低換気症候群	
2200199	[小慢] Idiopathic interstitial pneumonia	IIPs	[小慢] 特発性間質性肺炎	
2200200	[小慢] Congenital alveolar proteinosis	Congenital pulmonary alveolar proteinosis|C-PAP|Congenital PAP|Hereditary pulmonary alveolar proteinosis	[小慢] 先天性肺胞蛋白症	先天性PAP
2200202	[小慢] Pulmonary alveolar microlithiasis	PAM	[小慢] 肺胞微石症	
2200203	[小慢] Primary ciliary dyskinesia		[小慢] 線毛機能不全症候群	
2200205	[小慢] Cystic fibrosis	CF	[小慢] 嚢胞性線維症	
2200206	[小慢] Bronchiectasis		[小慢] 気管支拡張症	
2200207	[小慢] Idiopathic pulmonary hemosiderosis	Idiopathic pulmonary haemosiderosis	[小慢] 特発性肺ヘモジデローシス	
2200208	[小慢] Chronic lung disease	CLD	[小慢] 慢性肺疾患	
2200209	[小慢] Bronchiolitis obliterans	Obliterating bronchiolitis	[小慢] 閉塞性細気管支炎	
2200210	[小慢] Congenital diaphragmatic hernia	CDH	[小慢] 先天性横隔膜ヘルニア	
2200211	[小慢] Congenital cystic lung disease		[小慢] 先天性嚢胞性肺疾患	
2200212	[小慢] Sick sinus syndrome	SSS	[小慢] 洞不全症候群	
2200213	[小慢] Mobitz type II second degree atrioventricular block		[小慢] モビッツ2型ブロック	Mobitz2型ブロック 
2200214	[小慢] Complete atrio-ventricular block		[小慢] 完全房室ブロック	
2200215	[小慢] Bundle branch block		[小慢] 脚ブロック	
2200216	[小慢] Polymorphic ventricular premature beat		[小慢] 多源性心室期外収縮	
2200217	[小慢] Supraventricular tachycardia due to WPW syndrome		[小慢] 上室頻拍（WPW症候群によるものに限る。）	
2200218	[小慢] Multiple atrial tachycardia		[小慢] 多源性心房頻拍	
2200219	[小慢] Other supraventricular tachycardia		[小慢] 6及び7に掲げるもののほか、上室頻拍	
2200220	[小慢] Verapamil sensitive ventricular tachycardia		[小慢] ベラパミル感受性心室頻拍	
2200221	[小慢] Catecholaminergic polymorphic ventricular tachycardia	CPVT	[小慢] カテコラミン誘発多形性心室頻拍	
2200222	[小慢] Other ventricular tachycardia		[小慢] 9及び10に掲げるもののほか、心室頻拍	
2200225	[小慢] Atrial flutter		[小慢] 心房粗動	
2200226	[小慢] Atrial fibrillation	AF	[小慢] 心房細動	
2200227	[小慢] Ventricular fibrillation		[小慢] 心室細動	
2200228	[小慢] Long qt syndrome	LQTS	[小慢] QT延長症候群	
2200229	[小慢] Hypertrophic cardiomyopathy	HCM	[小慢] 肥大型心筋症	
2200230	[小慢] Arrhythmogenic right ventricular cardiomyopathy or dysplasia		[小慢] 不整脈源性右室心筋症	
2200231	[小慢] Non-compaction of the ventricle		[小慢] 心筋緻密化障害	
2200232	[小慢] Dilated cardiomyopathy	DCM	[小慢] 拡張型心筋症	
2200233	[小慢] Restrictive cardiomyopathy	Restricted cardiomyopathy	[小慢] 拘束型心筋症	
2200234	[小慢] Aneurysm of ventricle	Diverticulum of ventricle	[小慢] 心室瘤	
2200235	[小慢] Endocardial fibroelastosis		[小慢] 心内膜線維弾性症	
2200236	[小慢] Cardiac tumor		[小慢] 心臓腫瘍	
2200237	[小慢] Chronic myocarditis		[小慢] 慢性心筋炎	
2200238	[小慢] Chronic pericarditis		[小慢] 慢性心膜炎	
2200239	[小慢] Constrictive pericarditis		[小慢] 収縮性心膜炎	
2200240	[小慢] Congenital defect of the pericardium		[小慢] 先天性心膜欠損症	
2200241	[小慢] Idiopathic rupture of chordae tendineae of the mitral valve in infants		[小慢] 乳児特発性僧帽弁腱索断裂	
2200242	[小慢] Abnormal origin of left coronary artery from pulmonary artery		[小慢] 左冠動脈肺動脈起始症	
2200243	[小慢] Abnormal origin of right coronary artery from pulmonary artery		[小慢] 右冠動脈肺動脈起始症	
2200244	[小慢] Other anomalous origin of coronary artery		[小慢] 29及び30に掲げるもののほか、冠動脈起始異常	
2200245	[小慢] Coronary aneurysms complicated with Kawasaki disease		[小慢] 川崎病性冠動脈瘤	
2200246	[小慢] Stenosis or atresia of coronary artery		[小慢] 冠動脈狭窄症	
2200247	[小慢] Angina pectoris		[小慢] 狭心症	
2200248	[小慢] Myocardial infarction		[小慢] 心筋梗塞	
2200249	[小慢] Hypoplastic left heart syndrome		[小慢] 左心低形成症候群	
2200250	[小慢] Single ventricle		[小慢] 単心室症	
2200251	[小慢] Tricuspid atresia		[小慢] 三尖弁閉鎖症	
2200252	[小慢] Pulmonary atresia with ventricular septal defect		[小慢] 心室中隔欠損を伴う肺動脈閉鎖症	極型ファロー四徴症
2200253	[小慢] Pulmonary atresia with intact ventricular septum		[小慢] 心室中隔欠損を伴わない肺動脈閉鎖症	
2200254	[小慢] Tetralogy of Fallot	Fallot's Tetralogy	[小慢] ファロー四徴症	Fallot四徴症
2200255	[小慢] Taussig-Bing anomaly		[小慢] タウジッヒ・ビング奇形	Taussig-Bing奇形
2200256	[小慢] Double outlet right ventricle		[小慢] 両大血管右室起始症	
2200257	[小慢] Double-outlet left ventricle		[小慢] 両大血管左室起始症	
2200258	[小慢] Complete transposition of the great arteries	Complete TGA	[小慢] 完全大血管転位症	
2200259	[小慢] Congenitally corrected transposition of the great arteries		[小慢] 先天性修正大血管転位症	
2200260	[小慢] Ebstein's anomaly	Ebstein anomaly|Ebstein's malformation|Ebstein malformation	[小慢] エプスタイン病	Ebstein病|Ebstein奇形
2200261	[小慢] Truncus arteriosus communis		[小慢] 総動脈幹遺残症	
2200262	[小慢] Aorto-pulmonary window		[小慢] 大動脈肺動脈窓	
2200263	[小慢] Cor triatriatum		[小慢] 三心房心	
2200264	[小慢] Patent ductus arteriosus		[小慢] 動脈管開存症	
2200265	[小慢] Common atrium		[小慢] 単心房症	
2200266	"[小慢] Atrial septal defect, ostium secundum type"		[小慢] 二次孔型心房中隔欠損症	
2200267	"[小慢] Atrial septal defect, sinus venosus type"		[小慢] 静脈洞型心房中隔欠損症	
2200268	[小慢] Incomplete atrioventricular septal defect		[小慢] 不完全型房室中隔欠損症	不完全型心内膜床欠損症
2200269	[小慢] Complete atrioventricular septal defect		[小慢] 完全型房室中隔欠損症	完全型心内膜床欠損症
2200270	[小慢] Ventricular septal defect		[小慢] 心室中隔欠損症	
2200271	[小慢] Total anomalous pulmonary venous connection		[小慢] 総肺静脈還流異常症	
2200272	[小慢] Partial anomalous pulmonary venous connection		[小慢] 部分肺静脈還流異常症	
2200273	[小慢] Pulmonary venous obstruction		[小慢] 肺静脈狭窄症	
2200274	[小慢] Left ventricular-right atrial communication		[小慢] 左室右房交通症	
2200275	[小慢] Double-chambered right ventricle		[小慢] 右室二腔症	
2200276	[小慢] Subvalvular pulmonary stenosis		[小慢] 肺動脈弁下狭窄症	
2200277	[小慢] Subvalvular aortic stenosis		[小慢] 大動脈弁下狭窄症	
2200278	[小慢] Supravalvular pulmonary stenosis		[小慢] 肺動脈弁上狭窄症	
2200279	[小慢] Peripheral pulmonary stenosis		[小慢] 末梢性肺動脈狭窄症	
2200280	[小慢] Absent pulmonary valve		[小慢] 肺動脈弁欠損	
2200281	[小慢] Origin of pulmonary artery from ascending aorta		[小慢] 肺動脈上行大動脈起始症	
2200282	[小慢] Unilateral absence of a pulmonary artery		[小慢] 一側肺動脈欠損	
2200283	[小慢] Coarctation of the aorta		[小慢] 大動脈縮窄症	
2200284	[小慢] Coarctation complex		[小慢] 大動脈縮窄複合	
2200285	[小慢] Supravalvular aortic stenosis		[小慢] 大動脈弁上狭窄症	
2200286	[小慢] Williams syndrome		[小慢] ウィリアムズ症候群	Williams症候群
2200287	[小慢] Other coarctation of the aorta		[小慢] 70から73までに掲げるもののほか、大動脈狭窄症	
2200288	[小慢] Interruption of aortic arch complex		[小慢] 大動脈弓離断複合	
2200289	[小慢] Aortic arch occlusive disease		[小慢] 大動脈弓閉塞症	
2200290	[小慢] Double aortic arch disease		[小慢] 重複大動脈弓症	
2200291	[小慢] Vascular sling	PA sling|Pulmonary artery sling	[小慢] 左肺動脈右肺動脈起始症	
2200292	[小慢] Other vascular ring		[小慢] 77及び78に掲げるもののほか、血管輪	
2200293	[小慢] Aneurysm of sinus valsalva		[小慢] バルサルバ洞動脈瘤	Valsalva洞動脈瘤
2200294	[小慢] Aortic aneurysm		[小慢] 大動脈瘤	
2200295	[小慢] Pulmonary arteriovenous fistulae		[小慢] 肺動静脈瘻	
2200296	[小慢] Coronary artery fistula		[小慢] 冠動脈瘻	
2200297	[小慢] Other arteriovenous fistulae		[小慢] 82及び83に掲げるもののほか、動静脈瘻	
2200298	[小慢] Pulmonary arterial hypertension		[小慢] 肺動脈性肺高血圧症	
2200299	[小慢] Chronic cor pulmonale		[小慢] 慢性肺性心	
2200300	[小慢] Tricuspid valve stenosis		[小慢] 三尖弁狭窄症	
2200301	[小慢] Tricuspid valve regurgitation		[小慢] 三尖弁閉鎖不全症	
2200302	[小慢] Mitral valve stenosis		[小慢] 僧帽弁狭窄症	
2200303	[小慢] Mitral regurgitation		[小慢] 僧帽弁閉鎖不全症	
2200304	[小慢] Pulmonary valve stenosis		[小慢] 肺動脈弁狭窄症	
2200305	[小慢] Pulmonary valve regurgitation		[小慢] 肺動脈弁閉鎖不全症	
2200306	[小慢] Aortic valve stenosis		[小慢] 大動脈弁狭窄症	
2200307	[小慢] Aortic valve regurgitation		[小慢] 大動脈弁閉鎖不全症	
2200308	[小慢] Supramitral ring		[小慢] 僧帽弁弁上輪	
2200309	[小慢] Asplenia syndrome		[小慢] 無脾症候群	
2200310	[小慢] Polysplenia syndrome		[小慢] 多脾症候群	
2200311	[小慢] Post-Fontan syndrome		[小慢] フォンタン術後症候群	Fontan術後症候群
2200312	[小慢] Congenital hypopituitarism		[小慢] 先天性下垂体機能低下症	
2200313	[小慢] Acquired hypopituitarism		[小慢] 後天性下垂体機能低下症	
2200314	[小慢] Pituitary gigantism		[小慢] 下垂体性巨人症	
2200315	[小慢] Acromegaly		[小慢] 先端巨大症	
