id	label_en	synonym_en	label_ja	synonym_ja	OMIM	Orphanet
MONDO:0000211	"striatal degeneration, autosomal dominant"	ADSD|autosomal dominant striatal neurodegeneration	"線状核変性, 常染色体優性"		OMIMPS:609161	Orphanet:228169
MONDO:0000212	"hypercalcemia, infantile"	"hypercalcemia, infantile|hypercalcemia, idiopathic, of infancy|familial infantile hypercalcemia with suppressed intact parathyroid hormone|infantile hypercalcemia disease|hypercalcemia disease of infancy|idiopathic infantile hypercalcemia|infantile hypercalcemia|hypercalcemia, infantile, autosomal recessive|autosomal recessive hypercalcemia, infantile|autosomal recessive infantile hypercalcemia|infantile onset hypercalcemia disease"	"高カルシウム血症, 乳児性"		OMIMPS:143880	Orphanet:300547
MONDO:0000213	"autoimmune disease, multisystem, infantile-onset"		"自己免疫疾患, 多臓器, 乳児期発症"		OMIMPS:615952	
MONDO:0000214	hypermanganesemia with dystonia		ジストニアを伴う高マンガン血症		OMIMPS:613280	
MONDO:0000222	seminal vesicle acute gonorrhea	"acute gonococcal seminal vesiculitis|gonococcal seminal vesiculitis, acute"	精嚢急性淋病	精のう急性淋病		
MONDO:0000224	acquired carbohydrate metabolism disease	carbohydrate metabolism disease	後天性糖質代謝疾患			
MONDO:0000225	human monocytic ehrlichiosis	"ehrlichiosis chafeensis|human ehrlichiosis caused by Ehrlichia chaffeensis|Human ehrlichial infection, human monocytic type|HME|Human Monocytic Ehrlichiosis (HME)|human ehrlichiosis due to Ehrlichia chaffeensis"	ヒト単球性エールリヒア症			
MONDO:0000226	mineral metabolism disease	disease of mineral metabolism|disorder of mineral metabolism	ミネラル代謝疾患			
MONDO:0000227	African tick-bite fever	South African tick-bite fever|Rickettsia africae spotted fever	アフリカダニ熱			
MONDO:0000229	Indian tick typhus		地中海紅斑熱			Orphanet:101335
MONDO:0000230	Israeli tick typhus	Israeli spotted fever	イスラエル紅斑熱			
MONDO:0000231	Far eastern spotted fever	Rickettsia heilongjiangensis spotted fever	極東紅斑熱			
MONDO:0000232	Flinders island spotted fever	FISF|Thai tick typhus	フリンダーズ島紅斑熱			
MONDO:0000233	Japanese spotted fever	"oriental spotted fever|Japanese spotted fevers|spotted fever, Japanese|fevers, Japanese spotted|fever, Japanese spotted|Japanese spotted fever|Rickettsia japonica spotted fever"	日本紅斑熱			
MONDO:0000234	Rickettsia parkeri spotted fever	maculatum infection	リケッチア・パルケリ紅斑熱			
MONDO:0000236	oropharyngeal anthrax	oropharynx anthrax infection	口腔咽頭炭疽			
MONDO:0000239	adiaspiromycosis	pulmonary adiaspiromycosis|adiaspiromycosis|adiaspirosis|haplosporangiosis	アジアスピロミコーシス			
MONDO:0000240	invasive aspergillosis		侵襲性アスペルギルス症	侵襲型アスペルギルス症		
MONDO:0000241	Keshan disease	congestive cardiomyopathy due to selenium deficiency|enlarged heart and poor heart function	克山病			
MONDO:0000242	tinea barbae	beard dermatophytosis|dermatophytosis of beard	白癬性毛瘡			
MONDO:0000243	ectothrix infectious disease		毛外菌感染症			
MONDO:0000244	endothrix infectious disease		毛内菌感染症			
MONDO:0000245	tinea imbricata		渦状癬			
MONDO:0000248	dengue shock syndrome	DSS	デングショック症候群			
MONDO:0000249	secretory diarrhea		分泌性下痢			
MONDO:0000250	osmotic diarrheal disease	osmotic diarrhea|permeability diarrhea|permeability diarrhoea|osmotic diarrhoea	浸透圧性下痢			
MONDO:0000251	diarrheal disease secondary to altered bowel motility	diarrhoea secondary to altered bowel motility|motility-related diarrhoea|motility-related diarrhea|diarrhea secondary to altered bowel motility	腸運動性変化に続発する下痢症			
MONDO:0000252	inflammatory diarrhea		炎症性下痢			
MONDO:0000253	piedra	"Piedras, black|Piedras, White|black Piedras|steroid-modified tinea infection|piedra, black|White Piedras|White piedra|piedra, White|black piedra|Piedras|hair shaft fungal infectious disease"	砂毛症			
MONDO:0000254	cutaneous mycosis		皮膚真菌症			
MONDO:0000255	subcutaneous mycosis		皮下真菌症			
MONDO:0000256	systemic mycosis		全身性真菌症			
MONDO:0000257	acute diarrhea	"acute diarrheal disease|diarrhoea (disease), acute|diarrheal disease, acute|diarrhea (disease), acute|diarrhea, acute"	急性下痢	急性下痢症		
MONDO:0000259	asymptomatic dengue		無症候性デング熱			
MONDO:0000261	adenoiditis	chronic adenoiditis|inflammation of pharyngeal tonsil|pharyngeal tonsilitis|pharyngeal tonsil inflammation	アデノイド咽頭炎	アデノイド扁桃炎		
